# Function names imported by Shadow Fight 2 .s3e from the Marmalade loader
# Source: ShadowFight2.bin offset 0x1529..0x2bbf
# Total: 346 entries (filtered to valid C identifiers only)
# Format: <offset> <name>

0x00001539 s3eReallocBase
0x00001548 s3eFreeBase
0x00001554 glBindRenderbuffer
0x00001567 glIsRenderbuffer
0x00001578 glGenFramebuffers
0x0000158a glGenerateMipmap
0x0000159b glRenderbufferStorage
0x000015b1 glGetFramebufferAttachmentParameteriv
0x000015d7 glDeleteFramebuffers
0x000015ec glGenRenderbuffers
0x000015ff glGetRenderbufferParameteriv
0x0000161c glDeleteRenderbuffers
0x00001632 glBindFramebuffer
0x00001644 glFramebufferRenderbuffer
0x0000165e glFramebufferTexture2D
0x00001675 glCheckFramebufferStatus
0x0000168e glIsFramebuffer
0x0000169e glTexParameterxv
0x000016af s3eGLGetInt
0x000016bb glReadPixels
0x000016c8 s3eFileListNext
0x000016d8 s3eDebugIsDebuggerPresent
0x000016f2 s3eFileClose
0x000016ff glDisableClientState
0x00001714 glFogfv
0x0000171c s3eAccelerometerGetZ
0x00001731 s3eSoundStopAllChannels
0x00001749 glLightf
0x00001752 s3eDeviceRequestQuit
0x00001767 glGetProgramiv
0x00001776 glUniform4uiv
0x00001784 s3eSurfaceGetInt
0x00001795 s3eAudioResume
0x000017a4 glOrthof
0x000017ad s3eSocketRecv
0x000017bb s3eDeviceYield
0x000017ca glUniform1f
0x000017d6 glUniform3iv
0x000017e3 s3eTimerCancelTimer
0x000017f7 glUniform4fv
0x00001804 s3eFileListDirectory
0x00001819 glClearColorx
0x00001827 glDepthMask
0x00001833 s3eDebugPrint
0x00001841 glDepthRangex
0x0000184f glUniform4f
0x0000185b glNormalPointer
0x0000186b s3eSocketCreate
0x0000187b glGenVertexArrays
0x0000188d glStencilMaskSeparate
0x000018a3 glColor4x
0x000018ad glUniform4iv
0x000018ba glDeleteBuffers
0x000018ca glUniform1fv
0x000018d7 glEnableClientState
0x000018eb glBlendFunc
0x000018f7 s3eTimerSetTimer
0x00001908 s3eDeviceUnRegister
0x0000191c s3eGLRegister
0x0000192a eglGetCurrentDisplay
0x0000193f s3eDebugTraceLine
0x00001951 glLoadIdentity
0x00001960 glBufferSubData
0x00001970 glVertexAttribDivisor
0x00001986 glMultiTexCoord4x
0x00001998 eglCreateWindowSurface
0x000019af glIsQuery
0x000019b9 glTexStorage2D
0x000019c8 s3eAccelerometerGetY
0x000019dd glDeleteProgram
0x000019ed glUniform3uiv
0x000019fb eglBindAPI
0x00001a06 glFinish
0x00001a0f glClipPlanef
0x00001a1c glBindTexture
0x00001a2a glDeleteVertexArrays
