000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
0000152b		ds "s3eMallocBase"	s_s3eMallocBase_0000152b
00001539		ds "s3eReallocBase"	s_s3eReallocBase_00001539
00001548		ds "s3eFreeBase"	s_s3eFreeBase_00001548
00001554		ds "glBindRenderbuffer"	s_glBindRenderbuffer_00001554
00001567		ds "glIsRenderbuffer"	s_glIsRenderbuffer_00001567
00001578		ds "glGenFramebuffers"	s_glGenFramebuffers_00001578
0000158a		ds "glGenerateMipmap"	s_glGenerateMipmap_0000158a
0000159b		ds "glRenderbufferStorage"	s_glRenderbufferStorage_0000159b
000015b1		ds "glGetFramebufferAttachmentParameteriv"	s_glGetFramebufferAttachmentParame_000015b1
000015d7		ds "glDeleteFramebuffers"	s_glDeleteFramebuffers_000015d7
000015ec		ds "glGenRenderbuffers"	s_glGenRenderbuffers_000015ec
000015ff		ds "glGetRenderbufferParameteriv"	s_glGetRenderbufferParameteriv_000015ff
0000161c		ds "glDeleteRenderbuffers"	s_glDeleteRenderbuffers_0000161c
00001632		ds "glBindFramebuffer"	s_glBindFramebuffer_00001632
00001644		ds "glFramebufferRenderbuffer"	s_glFramebufferRenderbuffer_00001644
0000165e		ds "glFramebufferTexture2D"	s_glFramebufferTexture2D_0000165e
00001675		ds "glCheckFramebufferStatus"	s_glCheckFramebufferStatus_00001675
0000168e		ds "glIsFramebuffer"	s_glIsFramebuffer_0000168e
0000169e		ds "glTexParameterxv"	s_glTexParameterxv_0000169e
000016af		ds "s3eGLGetInt"	s_s3eGLGetInt_000016af
000016bb		ds "glReadPixels"	s_glReadPixels_000016bb
000016c8		ds "s3eFileListNext"	s_s3eFileListNext_000016c8
000016d8		ds "s3eDebugIsDebuggerPresent"	s_s3eDebugIsDebuggerPresent_000016d8
000016f2		ds "s3eFileClose"	s_s3eFileClose_000016f2
000016ff		ds "glDisableClientState"	s_glDisableClientState_000016ff
0000171c		ds "s3eAccelerometerGetZ"	s_s3eAccelerometerGetZ_0000171c
00001731		ds "s3eSoundStopAllChannels"	s_s3eSoundStopAllChannels_00001731
00001749		ds "glLightf"	s_glLightf_00001749
00001752		ds "s3eDeviceRequestQuit"	s_s3eDeviceRequestQuit_00001752
00001767		ds "glGetProgramiv"	s_glGetProgramiv_00001767
00001776		ds "glUniform4uiv"	s_glUniform4uiv_00001776
00001784		ds "s3eSurfaceGetInt"	s_s3eSurfaceGetInt_00001784
00001795		ds "s3eAudioResume"	s_s3eAudioResume_00001795
000017a4		ds "glOrthof"	s_glOrthof_000017a4
000017ad		ds "s3eSocketRecv"	s_s3eSocketRecv_000017ad
000017bb		ds "s3eDeviceYield"	s_s3eDeviceYield_000017bb
000017ca		ds "glUniform1f"	s_glUniform1f_000017ca
000017d6		ds "glUniform3iv"	s_glUniform3iv_000017d6
000017e3		ds "s3eTimerCancelTimer"	s_s3eTimerCancelTimer_000017e3
000017f7		ds "glUniform4fv"	s_glUniform4fv_000017f7
00001804		ds "s3eFileListDirectory"	s_s3eFileListDirectory_00001804
